,Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
745,300160,Taunshits,['Russia'],Stratovolcano,Eruption Dated,2568.0,Kamchatka and Mainland Asia,54.528,159.804,2301,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
830,305040,Jingbo,['China'],Volcanic field,Eruption Dated,2538.0,Kamchatka and Mainland Asia,44.08,128.83,1000,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Continental crust']"
895,312150,Mageik,['United States'],Stratovolcano,Eruption Dated,2518.0,Alaska,58.195,-155.253,2165,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
522,275080,Popa,['Burma (Myanmar)'],Stratovolcano,Eruption Dated,2460.0,Philippines and SE Asia,20.92,95.25,1518,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
940,320180,Meager,['Canada'],Complex,Eruption Dated,2428.0,Canada and Western USA,50.63,-123.5,2680,Dacite,"['Subduction zone', 'Continental crust']"
542,282091,Fukue,['Japan'],Shield,Eruption Dated,2418.0,"Japan, Taiwan, Marianas",32.657,128.849,315,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
311,254020,Ambitle,['Papua New Guinea'],Stratovolcano,Eruption Dated,2368.0,Melanesia and Australia,-4.08,153.65,450,Phono-tephrite /  Tephri-phonolite,"['Subduction zone', 'Crustal thickness unknow']"
1203,355011,Taapaca,['Chile'],Complex,Eruption Dated,2338.0,South America,-18.1,-69.5,5860,Dacite,"['Subduction zone', 'Continental crust']"
1161,352021,Atacazo,['Ecuador'],Stratovolcano,Eruption Dated,2338.0,South America,-0.353,-78.617,4463,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
719,300053,Khodutka,['Russia'],Stratovolcano,Eruption Dated,2318.0,Kamchatka and Mainland Asia,52.062,157.711,2039,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
978,324030,Wapi Lava Field,['United States'],Shield,Eruption Dated,2318.0,Canada and Western USA,42.88,-113.22,1604,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
19,212020,Methana,['Greece'],Lava dome,Eruption Observed,2276.0,Mediterranean and Western Asia,37.615,23.336,760,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1295,357153,Antillanca Group,['Chile'],Stratovolcano,Eruption Dated,2248.0,South America,-40.771,-72.153,1990,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
815,302030,Udokan Plateau,['Russia'],Pyroclastic cone,Eruption Dated,2238.0,Kamchatka and Mainland Asia,56.28,117.77,2180,Trachybasalt / Tephrite Basanite,"['Rift zone', 'Continental crust']"
1418,390028,Hudson Mountains,['Antarctica'],Stratovolcano,Eruption Dated,2228.0,Antarctica,-74.33,-99.42,749,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
1299,358012,Cayutue-La Vigueria,['Chile'],Pyroclastic cone,Eruption Dated,2208.0,South America,-41.25,-72.27,506,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
396,263251,Muria,['Indonesia'],Stratovolcano,Eruption Dated,2178.0,Indonesia,-6.62,110.88,1625,Trachybasalt / Tephrite Basanite,"['Subduction zone', 'Continental crust']"
972,323160,Ubehebe Craters,['United States'],Maar,Eruption Dated,2168.0,Canada and Western USA,37.02,-117.45,752,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
977,324020,Craters of the Moon,['United States'],Pyroclastic cone,Eruption Dated,2148.0,Canada and Western USA,43.42,-113.5,2005,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
5,211003,Vulsini,['Italy'],Caldera,Eruption Observed,2122.0,Mediterranean and Western Asia,42.6,11.93,800,Trachyte / Trachydacite,"['Subduction zone', 'Continental crust']"
1013,334021,Northern EPR at 16°N,['Undersea Features'],Submarine,Eruption Dated,2068.0,Hawaii and Pacific Ocean,15.83,-105.43,-2300,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
1012,334020,Northern EPR at 17°N,['Undersea Features'],Submarine,Eruption Dated,2068.0,Hawaii and Pacific Ocean,16.55,-105.32,-2700,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
1402,386020,Bouvet,['Norway'],Shield,Eruption Dated,2068.0,Atlantic Ocean,-54.408,3.351,741,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
1266,357061,"Maule, Laguna del",['Chile'],Caldera,Eruption Dated,2068.0,South America,-36.058,-70.492,2162,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
98,221270,Alutu,['Ethiopia'],Stratovolcano,Eruption Dated,2068.0,Africa and Red Sea,7.77,38.78,2335,Rhyolite,"['Rift zone', 'Continental crust']"
556,283060,Norikuradake,['Japan'],Stratovolcano,Eruption Dated,2068.0,"Japan, Taiwan, Marianas",36.106,137.554,3026,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1114,344091,Apoyeque,['Nicaragua'],Pyroclastic shield,Eruption Dated,2068.0,México and Central America,12.242,-86.342,518,Dacite,"['Subduction zone', 'Continental crust']"
1010,333050,Adams Seamount,['Undersea Features'],Submarine,Eruption Dated,2068.0,Hawaii and Pacific Ocean,-25.37,-129.27,-39,Basalt / Picro-Basalt,"['Intraplate', 'Oceanic crust']"
827,305011,Arxan-Chaihe,['China'],Pyroclastic cone,Eruption Dated,2018.0,Kamchatka and Mainland Asia,47.45,120.8,1677,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
1392,383040,Gran Canaria,['Spain'],Fissure vent,Eruption Dated,1978.0,Atlantic Ocean,28.0,-15.58,1950,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Intermediate crust']"
34,214010,Elbrus,['Russia'],Stratovolcano,Eruption Dated,1968.0,Mediterranean and Western Asia,43.351,42.442,5642,Dacite,"['Intraplate', 'Continental crust']"
477,271031,Leonard Range,['Philippines'],Stratovolcano,Eruption Dated,1898.0,Philippines and SE Asia,7.382,126.047,1080,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
20,212030,Milos,['Greece'],Stratovolcano,Eruption Dated,1878.0,Mediterranean and Western Asia,36.699,24.439,751,Rhyolite,"['Subduction zone', 'Continental crust']"
1348,371050,Hengill,['Iceland'],Crater rows,Eruption Dated,1868.0,Iceland and Arctic Ocean,64.083,-21.416,803,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
1328,360030,Liamuiga,['Saint Kitts and Nevis'],Stratovolcano,Eruption Dated,1858.0,West Indies,17.37,-62.8,1156,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
219,241061,Maroa,['New Zealand'],Caldera,Eruption Dated,1838.0,New Zealand to Fiji,-38.42,176.08,897,Rhyolite,"['Subduction zone', 'Continental crust']"
1311,358052,Melimoyu,['Chile'],Stratovolcano,Eruption Dated,1818.0,South America,-44.08,-72.88,2400,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1342,370010,Snaefellsjokull,['Iceland'],Stratovolcano,Eruption Dated,1818.0,Iceland and Arctic Ocean,64.8,-23.783,1446,,"['Rift zone', 'Oceanic crust']"
746,300170,Uzon,['Russia'],Caldera,Eruption Dated,1818.0,Kamchatka and Mainland Asia,54.5,159.97,1617,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
975,323200,Salton Buttes,['United States'],Lava dome,Eruption Dated,1808.0,Canada and Western USA,33.197,-115.616,-40,Rhyolite,"['Rift zone', 'Continental crust']"
1327,360020,"Quill, The",['Netherlands'],Stratovolcano,Eruption Dated,1768.0,West Indies,17.478,-62.96,601,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
220,241070,Taupo,['New Zealand'],Caldera,Eruption Dated,1758.0,New Zealand to Fiji,-38.82,176.0,760,Rhyolite,"['Subduction zone', 'Continental crust']"
1159,352011,Pululagua,['Ecuador'],Caldera,Eruption Dated,1728.0,South America,0.038,-78.463,3356,Dacite,"['Subduction zone', 'Continental crust']"
1204,355012,Parinacota,"['Chile', 'Bolivia']",Stratovolcano,Eruption Dated,1728.0,South America,-18.166,-69.142,6336,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
915,314060,Imuruk Lake,['United States'],Shield,Eruption Dated,1718.0,Alaska,65.517,-163.45,610,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
729,300082,Tolmachev Dol,['Russia'],Pyroclastic cone,Eruption Dated,1718.0,Kamchatka and Mainland Asia,52.63,157.58,1021,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1302,358023,Hornopiren,['Chile'],Stratovolcano,Eruption Dated,1678.0,South America,-41.874,-72.431,1572,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
710,300022,Diky Greben,['Russia'],Lava dome,Eruption Dated,1668.0,Kamchatka and Mainland Asia,51.452,156.978,1040,Dacite,"['Subduction zone', 'Continental crust']"
831,305050,Longgang Group,['China'],Pyroclastic cone,Eruption Dated,1668.0,Kamchatka and Mainland Asia,42.33,126.5,1000,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
737,300121,Veer,['Russia'],Pyroclastic cone,Eruption Dated,1628.0,Kamchatka and Mainland Asia,53.75,158.45,520,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
211,241010,Kaikohe-Bay of Islands,['New Zealand'],Volcanic field,Eruption Dated,1618.0,New Zealand to Fiji,-35.3,173.9,388,Trachybasalt / Tephrite Basanite,"['Subduction zone', 'Continental crust']"
1046,341080,Chichinautzin,['Mexico'],Volcanic field,Eruption Dated,1618.0,México and Central America,19.08,-99.13,3930,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
262,244020,Tutuila,['United States'],Tuff cone,Eruption Dated,1578.0,New Zealand to Fiji,-14.295,-170.7,653,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
956,322070,Three Sisters,['United States'],Complex,Eruption Dated,1578.0,Canada and Western USA,44.133,-121.767,3159,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
955,322060,Belknap,['United States'],Shield,Eruption Dated,1538.0,Canada and Western USA,44.285,-121.841,2095,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
178,231090,"Arhab, Harra of",['Yemen'],Volcanic field,Eruption Observed,1518.0,Middle East and Indian Ocean,15.63,44.08,3100,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Continental crust']"
1169,352071,Chimborazo,['Ecuador'],Stratovolcano,Eruption Dated,1468.0,South America,-1.464,-78.815,6310,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
566,283122,Harunasan,['Japan'],Stratovolcano,Eruption Dated,1468.0,"Japan, Taiwan, Marianas",36.477,138.851,1449,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1289,357122,Lanin,"['Chile', 'Argentina']",Stratovolcano,Eruption Dated,1458.0,South America,-39.637,-71.502,3776,Trachyandesite / Basaltic Trachyandesite,"['Subduction zone', 'Continental crust']"
170,231020,"Uwayrid, Harrat",['Saudi Arabia'],Volcanic field,Eruption Dated,1378.0,Middle East and Indian Ocean,27.08,37.25,1920,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
528,281032,Tatun Volcanic Group,['Taiwan'],Lava dome,Eruption Dated,1370.0,"Japan, Taiwan, Marianas",25.178,121.553,1120,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
548,283002,Sanbesan,['Japan'],Stratovolcano,Eruption Dated,1368.0,"Japan, Taiwan, Marianas",35.141,132.622,1126,Dacite,"['Subduction zone', 'Continental crust']"
1154,352003,Cuicocha,['Ecuador'],Caldera,Eruption Dated,1368.0,South America,0.308,-78.364,3246,Dacite,"['Subduction zone', 'Continental crust']"
173,231060,"Khaybar, Harrat",['Saudi Arabia'],Volcanic field,Eruption Observed,1368.0,Middle East and Indian Ocean,25.0,39.92,2093,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
953,322030,Blue Lake Crater,['United States'],Maar,Eruption Dated,1338.0,Canada and Western USA,44.411,-121.774,1230,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
959,322110,Newberry,['United States'],Shield,Eruption Dated,1328.0,Canada and Western USA,43.722,-121.229,2434,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1243,355130,"Ojos del Salado, Nevados","['Chile', 'Argentina']",Stratovolcano,Eruption Dated,1268.0,South America,-27.109,-68.541,6879,Dacite,"['Subduction zone', 'Continental crust']"
580,283200,Naruko,['Japan'],Caldera,Eruption Observed,1181.0,"Japan, Taiwan, Marianas",38.729,140.734,470,Rhyolite,"['Subduction zone', 'Continental crust']"
595,284030,Kozushima,['Japan'],Lava dome,Eruption Observed,1180.0,"Japan, Taiwan, Marianas",34.219,139.153,572,Rhyolite,"['Subduction zone', 'Oceanic crust']"
918,315030,Churchill,['United States'],Stratovolcano,Eruption Dated,1171.0,Alaska,61.38,-141.75,5005,Dacite,"['Intraplate', 'Continental crust']"
166,225060,Bayuda Volcanic Field,['Sudan'],Pyroclastic cone,Eruption Dated,1168.0,Africa and Red Sea,18.33,32.75,670,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Continental crust']"
795,300551,Kinenin,['Russia'],Maar,Eruption Dated,1168.0,Kamchatka and Mainland Asia,57.35,160.97,583,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
546,282130,Yufu-Tsurumi,['Japan'],Lava dome,Eruption Observed,1151.0,"Japan, Taiwan, Marianas",33.282,131.39,1584,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
630,284180,Alamagan,['United States'],Stratovolcano,Eruption Dated,1148.0,"Japan, Taiwan, Marianas",17.6,145.83,744,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
538,282070,Ata,['Japan'],Caldera,Eruption Observed,1133.0,"Japan, Taiwan, Marianas",31.22,130.57,924,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
594,284020,Niijima,['Japan'],Lava dome,Eruption Observed,1132.0,"Japan, Taiwan, Marianas",34.397,139.27,432,Rhyolite,"['Subduction zone', 'Oceanic crust']"
589,283271,Towada,['Japan'],Caldera,Eruption Observed,1103.0,"Japan, Taiwan, Marianas",40.51,140.88,1011,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1334,360100,"Trois Pitons, Morne",['Dominica'],Complex,Eruption Dated,1098.0,West Indies,15.37,-61.33,1387,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
947,321040,Adams,['United States'],Stratovolcano,Eruption Dated,1068.0,Canada and Western USA,46.206,-121.49,3742,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
752,300220,Komarov,['Russia'],Stratovolcano,Eruption Dated,1068.0,Kamchatka and Mainland Asia,55.033,160.725,2065,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
929,320060,Edziza,['Canada'],Stratovolcano,Eruption Dated,1068.0,Canada and Western USA,57.72,-130.63,2786,Trachyte / Trachydacite,"['Intraplate', 'Continental crust']"
1352,371080,Langjokull,['Iceland'],Subglacial,Eruption Dated,1068.0,Iceland and Arctic Ocean,64.85,-19.7,1100,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
293,252100,Hargy,['Papua New Guinea'],Stratovolcano,Eruption Dated,1068.0,Melanesia and Australia,-5.33,151.1,1148,Dacite,"['Subduction zone', 'Continental crust']"
952,322020,Jefferson,['United States'],Stratovolcano,Eruption Dated,1068.0,Canada and Western USA,44.674,-121.8,3199,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1344,370030,Ljosufjoll,['Iceland'],Fissure vent,Eruption Dated,1058.0,Iceland and Arctic Ocean,64.9,-22.483,1063,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
171,231040,"Lunayyir, Harrat",['Saudi Arabia'],Volcanic field,Eruption Observed,1018.0,Middle East and Indian Ocean,25.17,37.75,1370,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
835,306040,Halla,['South Korea'],Shield,Eruption Observed,1011.0,Kamchatka and Mainland Asia,33.361,126.53,1919,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
982,327040,Markagunt Plateau,['United States'],Volcanic field,Evidence Credible,968.0,Canada and Western USA,37.58,-112.67,2840,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
966,323020,Medicine Lake,['United States'],Shield,Eruption Dated,958.0,Canada and Western USA,41.611,-121.554,2412,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1115,344092,Nejapa-Miraflores,['Nicaragua'],Fissure vent,Eruption Dated,958.0,México and Central America,12.12,-86.32,360,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
989,329020,San Francisco Volcanic Field,['United States'],Pyroclastic cone,Eruption Dated,943.0,Canada and Western USA,35.347,-111.678,3850,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
657,285081,Mashu,['Japan'],Caldera,Eruption Dated,938.0,"Japan, Taiwan, Marianas",43.572,144.561,857,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1301,358022,Yate,['Chile'],Stratovolcano,Eruption Dated,928.0,South America,-41.755,-72.396,2187,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
988,329010,Uinkaret Field,['United States'],Volcanic field,Eruption Dated,918.0,Canada and Western USA,36.38,-113.13,1555,Trachybasalt / Tephrite Basanite,"['Rift zone', 'Continental crust']"
1055,341096,Cofre de Perote,['Mexico'],Shield,Eruption Dated,868.0,México and Central America,19.492,-97.15,4282,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1174,353011,Ecuador,['Ecuador'],Shield,Eruption Dated,868.0,South America,-0.02,-91.546,790,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
218,241060,Reporoa,['New Zealand'],Caldera,Eruption Dated,838.0,New Zealand to Fiji,-38.42,176.33,592,Rhyolite,"['Subduction zone', 'Continental crust']"
1142,351040,Machin,['Colombia'],Stratovolcano,Eruption Dated,838.0,South America,4.487,-75.389,2749,Dacite,"['Subduction zone', 'Continental crust']"
535,282043,Kuchinoshima,['Japan'],Stratovolcano,Eruption Dated,828.0,"Japan, Taiwan, Marianas",29.968,129.926,628,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
911,313050,Hayes,['United States'],Stratovolcano,Eruption Dated,818.0,Alaska,61.64,-152.411,3034,Dacite,"['Subduction zone', 'Continental crust']"
553,283031,Yokodake,['Japan'],Stratovolcano,Eruption Dated,818.0,"Japan, Taiwan, Marianas",36.087,138.32,2480,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
13,211042,Lipari,['Italy'],Stratovolcano,Eruption Dated,788.0,Mediterranean and Western Asia,38.49,14.933,590,Rhyolite,"['Subduction zone', 'Continental crust']"
1285,357111,Sollipulli,['Chile'],Caldera,Eruption Dated,778.0,South America,-38.97,-71.52,2282,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
134,222166,Rungwe,['Tanzania'],Stratovolcano,Eruption Dated,768.0,Africa and Red Sea,-9.135,33.668,2953,Trachyte / Trachydacite,"['Rift zone', 'Continental crust']"
794,300550,Gorny Institute,['Russia'],Stratovolcano,Eruption Dated,768.0,Kamchatka and Mainland Asia,57.33,160.2,2125,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
182,231160,"Sawad, Harra Es-",['Yemen'],Volcanic field,Eruption Observed,765.0,Middle East and Indian Ocean,13.58,46.12,1737,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Continental crust']"
174,231070,"Rahat, Harrat",['Saudi Arabia'],Volcanic field,Eruption Observed,762.0,Middle East and Indian Ocean,23.08,39.78,1744,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
971,323150,Mammoth Mountain,['United States'],Lava dome,Eruption Dated,758.0,Canada and Western USA,37.631,-119.032,3369,Trachyte / Trachydacite,"['Rift zone', 'Continental crust']"
1336,360110,"Plat Pays, Morne",['Dominica'],Stratovolcano,Eruption Dated,748.0,West Indies,15.255,-61.341,940,Dacite,"['Subduction zone', 'Oceanic crust']"
